date,ticker,adj_close,ret_1d,log_ret_1d,Volume,filed,Assets,Liabilities,StockholdersEquity,Revenues,NetIncomeLoss,OperatingIncomeLoss,EarningsPerShareBasic,CommonStockSharesOutstanding
2022-01-03,AAPL,178.10369873046875,,,104487900,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-04,AAPL,175.84327697753906,-0.0126916047731859,-0.0127728311832067,99310400,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-05,AAPL,171.1658172607422,-0.0266001623559047,-0.0269603483753846,94537600,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-06,AAPL,168.3084716796875,-0.0166934357968332,-0.0168343415311667,96904000,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-07,AAPL,168.47486877441406,0.0009886436081674,0.0009881552219422,86709100,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-10,AAPL,168.4944305419922,0.0001161108936924,0.0001161041533443,106765600,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-11,AAPL,171.32237243652344,0.0167835927005697,0.0166443045518331,76138300,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-12,AAPL,171.76272583007812,0.0025703204274609,0.0025670228033361,74805200,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-13,AAPL,168.4944305419922,-0.0190279658889391,-0.0192113273551694,84505800,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-14,AAPL,169.35552978515625,0.0051105501849182,0.0050975356454607,80440800,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-18,AAPL,166.1557159423828,-0.0188940617813466,-0.0190748352180691,90956700,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-19,AAPL,162.66232299804688,-0.0210248135282167,-0.0212489825626392,94815000,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-20,AAPL,160.979248046875,-0.010347048536815,-0.0104009513895364,91420500,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-21,AAPL,158.92430114746094,-0.0127652907088725,-0.0128474671185298,122848900,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-24,AAPL,158.1512908935547,-0.004864015435808,-0.0048758832580409,162294600,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-25,AAPL,156.3507537841797,-0.011384903020405,-0.0114502071560891,115798400,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-26,AAPL,156.26271057128906,-0.0005631134533073,-0.0005632720612336,108275300,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-27,AAPL,155.80279541015625,-0.0029432176073957,-0.0029475573897123,121954600,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0
2022-01-28,AAPL,166.67434692382812,0.0697776409277648,0.0674508146608218,179935700,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-01-31,AAPL,171.02882385253906,0.0261256576616495,0.025790212603763,115541600,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-01,AAPL,170.86251831054688,-0.0009723831237685,-0.000972856194934,86213900,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-02,AAPL,172.0661163330078,0.0070442484072099,0.0070195535925153,84914300,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-03,AAPL,169.1891632080078,-0.0167200445172603,-0.0168614023496585,89418100,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-04,AAPL,168.90504455566406,-0.001679295806874,-0.0016807074046257,82465400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-07,AAPL,168.1898193359375,-0.0042344811050971,-0.0042434719101177,77251200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-08,AAPL,171.2957305908203,0.0184667018916238,0.0182982628676392,74829200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-09,AAPL,172.71641540527344,0.0082937549555555,0.0082595507605966,71285000,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-10,AAPL,168.64047241210938,-0.0235990480904781,-0.0238819655462306,90865900,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-11,AAPL,165.2308807373047,-0.0202181103150175,-0.0204252936339519,98670700,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-14,AAPL,165.4660186767578,0.0014230871275628,0.0014220754987201,86185500,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-15,AAPL,169.29698181152344,0.0231525673089985,0.0228886130040958,62527400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-16,AAPL,169.0618133544922,-0.0013890883021946,-0.0013900539797281,61177400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-17,AAPL,165.4660186767578,-0.0212691122045085,-0.0214985590243676,69589300,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-18,AAPL,163.91796875,-0.0093556969529917,-0.0093997363806493,82772700,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-22,AAPL,160.99818420410156,-0.0178124739353716,-0.0179730254529262,91162800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-23,AAPL,156.83413696289062,-0.0258639391605315,-0.0262042922420763,90009200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-24,AAPL,159.4501495361328,0.0166801222227606,0.0165425368368362,141147500,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-25,AAPL,161.5175018310547,0.012965508661711,0.0128821759817536,91974200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-02-28,AAPL,161.7820281982422,0.0016377566776892,0.0016364170167146,95056600,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-01,AAPL,159.9008331298828,-0.0116279607154771,-0.011696094134146,83474400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-02,AAPL,163.1929168701172,0.0205882838494049,0.0203792099124367,79724800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-03,AAPL,162.8695526123047,-0.0019814846380241,-0.0019834503758583,76678400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-04,AAPL,159.87142944335938,-0.0184081255265805,-0.0185796634585116,83737200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-07,AAPL,156.07968139648438,-0.023717483856103,-0.0240032711932623,96418800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-08,AAPL,154.2572784423828,-0.0116761063182347,-0.0117448073448774,131148300,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-09,AAPL,159.65585327148438,0.034997212991269,0.0343987339516479,91454900,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-10,AAPL,155.31546020507812,-0.027185931348384,-0.0275623058562888,105342000,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-11,AAPL,151.60205078125,-0.0239088202740728,-0.0241992750822586,96970100,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-14,AAPL,147.5751190185547,-0.0265625150975421,-0.0269216730757781,108732100,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-15,AAPL,151.9547882080078,0.0296775582400341,0.0292457029786913,92964300,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-16,AAPL,156.36378479003906,0.0290151869120165,0.0286022156468071,102300200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-17,AAPL,157.37295532226562,0.0064539914634431,0.0064332536405342,75615400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-18,AAPL,160.66505432128906,0.0209190898924274,0.0207032900996285,123511700,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-21,AAPL,162.03675842285156,0.0085376630740088,0.0085014233509004,95811400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-22,AAPL,165.40724182128906,0.0208007333104127,0.0205873519764814,81532000,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-23,AAPL,166.7691192626953,0.0082334813543269,0.0081997711551828,98062700,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-24,AAPL,170.55113220214844,0.0226781370326463,0.0224248109076173,90131400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-25,AAPL,171.18792724609375,0.0037337485581188,0.0037267954211069,80546200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-28,AAPL,172.05018615722656,0.0050369142556019,0.0050242714390759,90371900,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-29,AAPL,175.34225463867188,0.019134350011321,0.0189535905069407,100589400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-30,AAPL,174.1763153076172,-0.006649505753518,-0.0066717122129641,92633200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-03-31,AAPL,171.0802001953125,-0.0177757527298505,-0.0179356389884142,103049300,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-01,AAPL,170.78622436523438,-0.0017183509824194,-0.001719829040927,78751300,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-04,AAPL,174.83274841308594,0.0236935037523744,0.0234171690724952,76468400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-05,AAPL,171.52105712890625,-0.0189420535582669,-0.0191237524133197,73401800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-06,AAPL,168.3563690185547,-0.0184507264782839,-0.0186230642621202,89058800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-07,AAPL,168.66009521484375,0.0018040671586092,0.0018024417840158,77594700,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-08,AAPL,166.65158081054688,-0.0119086521428698,-0.0119801281629127,76575500,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-11,AAPL,162.3992919921875,-0.0255160424982314,-0.0258472224565646,72246700,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-12,AAPL,164.2706756591797,0.0115233486798835,0.0114574605820707,79265200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-13,AAPL,166.95526123046875,0.0163424516306178,0.0162103510563234,70618900,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-14,AAPL,161.94857788085938,-0.0299881735544592,-0.0304470153471352,75329400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-18,AAPL,161.7330322265625,-0.0013309512014081,-0.0013318377036398,69023900,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-19,AAPL,164.01593017578125,0.0141152238215676,0.0140165316733814,67723800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-20,AAPL,163.84939575195312,-0.0010153551770833,-0.0010158709993426,67929800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-21,AAPL,163.0557403564453,-0.0048438103287808,-0.00485557959882,87227800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-22,AAPL,158.51931762695312,-0.0278213003698944,-0.0282156440634764,84882400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-25,AAPL,159.5872802734375,0.0067371135737388,0.0067145206414203,96046400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-26,AAPL,153.63021850585938,-0.0373279233618824,-0.0380424478768828,95623200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-27,AAPL,153.4048614501953,-0.0014668797444655,-0.0014679566658295,88063200,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-28,AAPL,160.33189392089844,0.0451552343597145,0.0441654240108922,130216800,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0
2022-04-29,AAPL,154.46304321289062,-0.0366043870903394,-0.0372911385542627,131747600,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-02,AAPL,154.76678466796875,0.0019664344865941,0.0019645035852121,123055300,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-03,AAPL,156.2560272216797,0.0096224946257421,0.009576493287327,88966500,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-04,AAPL,162.66384887695312,0.0410084767237981,0.0401899324659595,108256500,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-05,AAPL,153.60081481933594,-0.0557163384500566,-0.0573286690443681,130525300,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-06,AAPL,154.3269500732422,0.0047274179812153,0.0047162788333074,116124600,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-09,AAPL,149.20494079589844,-0.0331893377981803,-0.0337526018708201,131577900,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-10,AAPL,151.60891723632812,0.0161119090802639,0.0159834898231274,115366700,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-11,AAPL,143.74932861328125,-0.0518412027888527,-0.0532332831482524,142689800,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-12,AAPL,139.88330078125,-0.026894232267559,-0.0272624999983538,182602000,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-13,AAPL,144.34786987304688,0.0319163836345168,0.0314176401668167,113990900,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-16,AAPL,142.80735778808594,-0.0106722190380489,-0.0107295756139489,86643800,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-17,AAPL,146.4379119873047,0.0254227391042847,0.0251049559595824,78336300,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
2022-05-18,AAPL,138.1759796142578,-0.0564193538471317,-0.058073442306623,109742900,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0
