ticker,filed,Assets,CommonStockSharesOutstanding,EarningsPerShareBasic,Liabilities,NetIncomeLoss,OperatingIncomeLoss,Revenues,StockholdersEquity
AAPL,2009-07-22,48140000000.0,895735210.0,1.38,22252000000.0,1229000000.0,1672000000.0,,25888000000.0
AAPL,2009-10-27,53851000000.0,899805500.0,6.39,26019000000.0,5704000000.0,7658000000.0,,27832000000.0
AAPL,2010-01-25,53926000000.0,906282182.0,3.74,18158000000.0,3378000000.0,4725000000.0,,35768000000.0
AAPL,2010-04-21,57057000000.0,909635811.0,3.39,17709000000.0,3074000000.0,3979000000.0,,39348000000.0
AAPL,2010-07-21,64725000000.0,913482347.0,3.57,21614000000.0,3253000000.0,4234000000.0,,43111000000.0
AAPL,2010-10-27,75183000000.0,915970050.0,4.71,27392000000.0,4308000000.0,18385000000.0,,47791000000.0
AAPL,2011-01-19,86742000000.0,921035475.0,6.53,32076000000.0,6004000000.0,7827000000.0,,54666000000.0
AAPL,2011-04-21,94904000000.0,924674079.0,6.49,33427000000.0,5987000000.0,7874000000.0,,61477000000.0
AAPL,2011-07-20,106758000000.0,926903779.0,7.89,37415000000.0,7308000000.0,9379000000.0,,69343000000.0
AAPL,2011-10-26,116371000000.0,929277000.0,7.13,39756000000.0,6623000000.0,33790000000.0,,76615000000.0
AAPL,2012-01-25,138681000000.0,932214000.0,14.03,48627000000.0,13064000000.0,17340000000.0,,90054000000.0
AAPL,2012-04-25,150934000000.0,934982000.0,12.45,48436000000.0,11622000000.0,15384000000.0,,102498000000.0
AAPL,2012-07-25,162896000000.0,937266000.0,9.42,51150000000.0,8824000000.0,11573000000.0,,111746000000.0
AAPL,2012-10-31,176064000000.0,939208000.0,8.76,57854000000.0,8223000000.0,55241000000.0,,118210000000.0
AAPL,2013-01-24,196088000000.0,938973000.0,13.93,68742000000.0,13078000000.0,17210000000.0,,127346000000.0
AAPL,2013-04-24,194743000000.0,940094000.0,10.16,59253000000.0,9547000000.0,12558000000.0,,135490000000.0
AAPL,2013-07-24,199856000000.0,908442000.0,7.51,76502000000.0,6900000000.0,9201000000.0,,123354000000.0
AAPL,2013-10-30,207000000000.0,899213000.0,8.31,83451000000.0,7512000000.0,48999000000.0,,123549000000.0
AAPL,2014-01-28,225184000000.0,892447000.0,14.59,95500000000.0,13072000000.0,17463000000.0,,129684000000.0
AAPL,2014-04-24,205989000000.0,861745.0,11.69,85810000000.0,10223000000.0,13593000000.0,,120179000000.0
AAPL,2014-07-23,222520000000.0,5989171000.0,1.29,101580000000.0,7748000000.0,10282000000.0,,120940000000.0
AAPL,2014-10-27,231839000000.0,5866161000.0,1.43,120292000000.0,8467000000.0,52503000000.0,,111547000000.0
AAPL,2015-01-28,261894000000.0,5826419000.0,3.08,138566000000.0,18024000000.0,24246000000.0,,123328000000.0
AAPL,2015-04-28,261194000000.0,5762278000.0,2.34,132188000000.0,13569000000.0,18278000000.0,,129006000000.0
AAPL,2015-07-22,273151000000.0,5705400000.0,1.86,147474000000.0,10677000000.0,14083000000.0,,125677000000.0
AAPL,2015-10-28,290479000000.0,5578753000.0,1.97,171124000000.0,11124000000.0,71230000000.0,,119355000000.0
AAPL,2016-01-27,293284000000.0,5544487000.0,3.3,165017000000.0,18361000000.0,24171000000.0,,128267000000.0
AAPL,2016-04-27,305277000000.0,5478446000.0,1.91,174820000000.0,10516000000.0,13987000000.0,,130457000000.0
AAPL,2016-07-27,305602000000.0,5393165000.0,1.43,179061000000.0,7796000000.0,10105000000.0,,126541000000.0
AAPL,2016-10-26,321686000000.0,5336166000.0,1.68,193437000000.0,9014000000.0,60024000000.0,,128249000000.0
AAPL,2017-02-01,331141000000.0,5255423000.0,3.38,198751000000.0,17891000000.0,23359000000.0,,132390000000.0
AAPL,2017-05-03,334532000000.0,5205815000.0,2.11,200450000000.0,11029000000.0,14097000000.0,,134082000000.0
AAPL,2017-08-02,345173000000.0,5169782000.0,1.68,212748000000.0,8717000000.0,10768000000.0,,132425000000.0
AAPL,2017-11-03,375319000000.0,5126201000.0,2.08,241272000000.0,10714000000.0,61344000000.0,,134047000000.0
AAPL,2018-02-02,406794000000.0,5081651000.0,3.92,266595000000.0,20065000000.0,26274000000.0,,140199000000.0
AAPL,2018-05-02,367502000000.0,4943282000.0,2.75,240624000000.0,13822000000.0,15894000000.0,,126878000000.0
AAPL,2018-08-01,349197000000.0,4842917000.0,2.36,234248000000.0,11519000000.0,12612000000.0,,114949000000.0
AAPL,2018-11-05,365725000000.0,4754986000.0,2.94,258578000000.0,14125000000.0,70898000000.0,62900000000.0,107147000000.0
AAPL,2019-01-30,373719000000.0,4729803000.0,4.22,255827000000.0,19965000000.0,23346000000.0,,117892000000.0
AAPL,2019-05-01,341998000000.0,4607284000.0,2.47,236138000000.0,11561000000.0,13415000000.0,,105860000000.0
