ticker,cik10,company_title,concept,unit,value,form,fy,fp,start,end,filed,accn,frame
AMZN,0001018724,AMAZON COM INC,AccountsPayableCurrent,USD,68547000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AccountsReceivableNetCurrent,USD,32504000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AccruedLiabilitiesCurrent,USD,58141000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-2365000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AdditionalPaidInCapital,USD,58793000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AllocatedShareBasedCompensationExpense,USD,3250000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-29,0001018724-22-000013,
AMZN,0001018724,AMAZON COM INC,AllocatedShareBasedCompensationExpense,USD,3250000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-28,0001018724-23-000008,CY2022Q1
AMZN,0001018724,AMAZON COM INC,AllowanceForDoubtfulAccountsReceivableCurrent,USD,1100000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AssetImpairmentCharges,USD,190000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-28,0001018724-23-000008,CY2022Q1
AMZN,0001018724,AMAZON COM INC,Assets,USD,410767000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AssetsCurrent,USD,133876000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,USD,822000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,USD,796000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
AMZN,0001018724,AMAZON COM INC,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,USD,15512000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-29,0001018724-22-000013,CY2022Q1I
