ticker,cik10,company_title,concept,unit,value,form,fy,fp,start,end,filed,accn,frame
COIN,0001679788,"Coinbase Global, Inc.",AccountsNotesAndLoansReceivableNetCurrent,USD,346048000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",AccountsPayableCurrent,USD,12650000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",AccountsPayableOtherCurrent,USD,87677000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",AccruedLiabilitiesCurrent,USD,647960000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-3890000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",AdditionalPaidInCapitalCommonStock,USD,2579216000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,353538000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,353538000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",AllocatedShareBasedCompensationExpense,USD,352141000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",AllocatedShareBasedCompensationExpense,USD,352141000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",AmortizationOfFinancingCostsAndDiscounts,USD,2070000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",AmortizationOfFinancingCostsAndDiscounts,USD,2070000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",AmortizationOfIntangibleAssets,USD,25900000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",AmortizationOfIntangibleAssets,USD,25900000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,shares,52333000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,shares,52333000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",AssetImpairmentCharges,USD,229129000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",Assets,USD,20895194000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",AssetsCurrent,USD,16940652000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",CapitalExpendituresIncurredButNotYetPaid,USD,234000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",CapitalExpendituresIncurredButNotYetPaid,USD,234000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",CapitalLeaseObligationsIncurred,USD,3771000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",CapitalLeaseObligationsIncurred,USD,3771000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",CashAndCashEquivalentsAtCarryingValue,USD,6116388000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",CashAndCashEquivalentsAtCarryingValue,USD,6116388000.0,10-Q,2023,Q1,,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,16166884000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,16166884000.0,10-Q,2023,Q1,,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,USD,-1508271000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,USD,-1508271000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",ComprehensiveIncomeNetOfTax,USD,-430154000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",ComprehensiveIncomeNetOfTax,USD,-430154000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",DebtInstrumentInterestRateStatedPercentage,pure,0.0518,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",DeferredIncomeTaxAssetsNet,USD,750566000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",DeferredIncomeTaxesAndTaxCredits,USD,-183183000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
COIN,0001679788,"Coinbase Global, Inc.",DeferredIncomeTaxesAndTaxCredits,USD,-183183000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-05-04,0001679788-23-000073,CY2022Q1
COIN,0001679788,"Coinbase Global, Inc.",DepositsAssetsNoncurrent,USD,12729000.0,10-Q,2022,Q1,,2022-03-31,2022-05-10,0001679788-22-000048,CY2022Q1I
COIN,0001679788,"Coinbase Global, Inc.",DepreciationDepletionAndAmortization,USD,31580000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-05-10,0001679788-22-000048,
