ticker,cik10,company_title,concept,unit,value,form,fy,fp,start,end,filed,accn,frame
GOOG,0001652044,Alphabet Inc.,StockholdersEquityNoteStockSplitConversionRatio1,pure,20.0,10-Q,2022,Q1,,2022-02-01,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,StockholdersEquityNoteStockSplitConversionRatio1,pure,20.0,10-Q,2022,Q2,,2022-02-01,2022-07-27,0001652044-22-000071,
GOOG,0001652044,Alphabet Inc.,StockholdersEquityNoteStockSplitConversionRatio1,pure,20.0,10-Q,2022,Q3,,2022-02-01,2022-10-26,0001652044-22-000090,
GOOG,0001652044,Alphabet Inc.,StockholdersEquityNoteStockSplitConversionRatio1,pure,20.0,10-K,2022,FY,,2022-02-01,2023-02-03,0001652044-23-000016,CY2021Q4I
GOOG,0001652044,Alphabet Inc.,AccountsPayableCurrent,USD,3436000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AccountsReceivableNetCurrent,USD,34703000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AccruedIncomeTaxesCurrent,USD,4344000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AccruedIncomeTaxesNoncurrent,USD,9406000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AccruedLiabilitiesCurrent,USD,33051000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-4049000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,4547000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,4547000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,AllocatedShareBasedCompensationExpense,USD,4500000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,AllocatedShareBasedCompensationExpense,USD,4500000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,AllowanceForDoubtfulAccountsReceivable,USD,578000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,Assets,USD,357096000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AssetsCurrent,USD,177853000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,USD,4755000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,USD,75938000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,USD,12245000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,USD,15516000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,AvailableForSaleSecuritiesDebtSecurities,USD,108454000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CashAndCashEquivalentsAtCarryingValue,USD,20886000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CashAndCashEquivalentsFairValueDisclosure,USD,7820000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CashCashEquivalentsAndShortTermInvestments,USD,133970000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,20886000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,20886000000.0,10-Q,2023,Q1,,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,-59000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,-59000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,CommercialPaper,USD,0.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CommonStockParOrStatedValuePerShare,USD/shares,0.001,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CommonStockSharesAuthorized,shares,15000000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CommonStockSharesIssued,shares,658763000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CommonStockSharesOutstanding,shares,658763000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CommonStocksIncludingAdditionalPaidInCapital,USD,62832000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,ComprehensiveIncomeNetOfTax,USD,14010000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,ComprehensiveIncomeNetOfTax,USD,14010000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,ContractWithCustomerLiabilityCurrent,USD,3198000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,ContractWithCustomerLiabilityNoncurrent,USD,499000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,ContractWithCustomerLiabilityRevenueRecognized,USD,1400000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1
GOOG,0001652044,Alphabet Inc.,ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,USD,0.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,CostOfRevenue,USD,29599000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,CostOfRevenue,USD,29599000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,CostsAndExpenses,USD,47917000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,CostsAndExpenses,USD,47917000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,DebtAndEquitySecuritiesGainLoss,USD,-1437000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,DebtAndEquitySecuritiesGainLoss,USD,-1437000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,USD,153000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,DebtSecuritiesAvailableForSaleAllowanceForCreditLossPeriodIncreaseDecrease,USD,-66000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger,USD,7582000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,USD,388000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,USD,80766000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,USD,2614000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-27,0001652044-22-000029,CY2022Q1I
GOOG,0001652044,Alphabet Inc.,DebtSecuritiesAvailableForSaleGainLoss,USD,-367000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
GOOG,0001652044,Alphabet Inc.,DebtSecuritiesAvailableForSaleRealizedGain,USD,40000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-27,0001652044-22-000029,
GOOG,0001652044,Alphabet Inc.,DebtSecuritiesAvailableForSaleRealizedGain,USD,40000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-26,0001652044-23-000045,CY2022Q1
