ticker,cik10,company_title,concept,unit,value,form,fy,fp,start,end,filed,accn,frame
MSFT,0000789019,MICROSOFT CORP,AccountsPayableCurrent,USD,16085000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AccountsReceivableNetCurrent,USD,32613000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AccountsReceivableNetNoncurrent,USD,3600000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AccruedIncomeTaxesCurrent,USD,4646000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AccruedIncomeTaxesNoncurrent,USD,26483000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,USD,58053000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-2476000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AllowanceForDoubtfulAccountsReceivableCurrent,USD,505000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AmortizationOfIntangibleAssets,USD,1400000000.0,10-Q,2022,Q3,2021-07-01,2022-03-31,2022-04-26,0001564590-22-015675,
MSFT,0000789019,MICROSOFT CORP,AmortizationOfIntangibleAssets,USD,1400000000.0,10-Q,2023,Q3,2021-07-01,2022-03-31,2023-04-25,0000950170-23-014423,
MSFT,0000789019,MICROSOFT CORP,AmortizationOfIntangibleAssets,USD,502000000.0,10-Q,2022,Q3,2022-01-01,2022-03-31,2022-04-26,0001564590-22-015675,
MSFT,0000789019,MICROSOFT CORP,AmortizationOfIntangibleAssets,USD,502000000.0,10-Q,2023,Q3,2022-01-01,2022-03-31,2023-04-25,0000950170-23-014423,CY2022Q1
MSFT,0000789019,MICROSOFT CORP,Assets,USD,344607000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AssetsCurrent,USD,153922000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AvailableForSaleDebtSecuritiesAmortizedCostBasis,USD,97048000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
MSFT,0000789019,MICROSOFT CORP,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,USD,20401000000.0,10-Q,2022,Q3,,2022-03-31,2022-04-26,0001564590-22-015675,CY2022Q1I
