ticker,cik10,company_title,concept,unit,value,form,fy,fp,start,end,filed,accn,frame
TSLA,0001318605,"Tesla, Inc.",AccountsAndNotesReceivableNet,USD,293000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AccountsPayableCurrent,USD,11171000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AccountsReceivableNetCurrent,USD,2311000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,USD,7266000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-50000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AdditionalPaidInCapitalCommonStock,USD,30485000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,485000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-25,0000950170-22-006034,
TSLA,0001318605,"Tesla, Inc.",AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,485000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-24,0000950170-23-013890,CY2022Q1
TSLA,0001318605,"Tesla, Inc.",AllocatedShareBasedCompensationExpense,USD,418000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-25,0000950170-22-006034,
TSLA,0001318605,"Tesla, Inc.",AllocatedShareBasedCompensationExpense,USD,418000000.0,10-Q,2023,Q1,2022-01-01,2022-03-31,2023-04-24,0000950170-23-013890,CY2022Q1
TSLA,0001318605,"Tesla, Inc.",AmortizationOfFinancingCosts,USD,1000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1
TSLA,0001318605,"Tesla, Inc.",Assets,USD,66038000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AssetsCurrent,USD,29050000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AvailableForSaleDebtSecuritiesGrossUnrealizedGain,USD,0.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1
TSLA,0001318605,"Tesla, Inc.",AvailableForSaleDebtSecuritiesGrossUnrealizedLoss,USD,9000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1
TSLA,0001318605,"Tesla, Inc.",AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,USD,10000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis,USD,162000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,USD,8000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis,USD,328000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis,USD,508000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",AvailableForSaleSecuritiesDebtSecurities,USD,18013000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",CashAndCashEquivalentsAtCarryingValue,USD,17505000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,
TSLA,0001318605,"Tesla, Inc.",CashAndCashEquivalentsAtCarryingValue,USD,17505000000.0,10-Q,2023,Q1,,2022-03-31,2023-04-24,0000950170-23-013890,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,USD,18040000000.0,10-Q,2022,Q1,,2022-03-31,2022-04-25,0000950170-22-006034,
TSLA,0001318605,"Tesla, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,USD,18040000000.0,10-Q,2023,Q1,,2022-03-31,2023-04-24,0000950170-23-013890,CY2022Q1I
TSLA,0001318605,"Tesla, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,USD,-104000000.0,10-Q,2022,Q1,2022-01-01,2022-03-31,2022-04-25,0000950170-22-006034,
