ticker,cik10,form,filing_date,accession,primary_doc,url,local_path
AAPL,0000320193,10-Q,2022-01-28,0000320193-22-000007,aapl-20211225.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm,data/raw/sec/filings_raw/AAPL/2022-01-28_10-Q_0000320193-22-000007.htm
AAPL,0000320193,10-Q,2022-04-29,0000320193-22-000059,aapl-20220326.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm,data/raw/sec/filings_raw/AAPL/2022-04-29_10-Q_0000320193-22-000059.htm
AAPL,0000320193,10-Q,2022-07-29,0000320193-22-000070,aapl-20220625.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm,data/raw/sec/filings_raw/AAPL/2022-07-29_10-Q_0000320193-22-000070.htm
AAPL,0000320193,10-K,2022-10-28,0000320193-22-000108,aapl-20220924.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,data/raw/sec/filings_raw/AAPL/2022-10-28_10-K_0000320193-22-000108.htm
AAPL,0000320193,10-Q,2023-02-03,0000320193-23-000006,aapl-20221231.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm,data/raw/sec/filings_raw/AAPL/2023-02-03_10-Q_0000320193-23-000006.htm
AAPL,0000320193,10-Q,2023-05-05,0000320193-23-000064,aapl-20230401.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm,data/raw/sec/filings_raw/AAPL/2023-05-05_10-Q_0000320193-23-000064.htm
AAPL,0000320193,10-Q,2023-08-04,0000320193-23-000077,aapl-20230701.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm,data/raw/sec/filings_raw/AAPL/2023-08-04_10-Q_0000320193-23-000077.htm
AAPL,0000320193,10-K,2023-11-03,0000320193-23-000106,aapl-20230930.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,data/raw/sec/filings_raw/AAPL/2023-11-03_10-K_0000320193-23-000106.htm
AAPL,0000320193,10-Q,2024-02-02,0000320193-24-000006,aapl-20231230.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/aapl-20231230.htm,data/raw/sec/filings_raw/AAPL/2024-02-02_10-Q_0000320193-24-000006.htm
AAPL,0000320193,10-Q,2024-05-03,0000320193-24-000069,aapl-20240330.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/aapl-20240330.htm,data/raw/sec/filings_raw/AAPL/2024-05-03_10-Q_0000320193-24-000069.htm
