report_date,revenue,net_income,ebit,total_assets,cash,ticker
2021-12-31,2363000000.0,647000000.0,,127875000000.0,,A5G.IR
2022-12-31,2911000000.0,767000000.0,,129752000000.0,,A5G.IR
2023-12-31,4720000000.0,2061000000.0,,136349000000.0,,A5G.IR
2024-12-31,4911000000.0,2354000000.0,,141266000000.0,,A5G.IR
2021-12-31,,,,,,ASML.AS
2022-12-31,21173400000.0,5624200000.0,,36300400000.0,,ASML.AS
2023-12-31,27558500000.0,7839000000.0,,39957500000.0,,ASML.AS
2024-12-31,28262900000.0,7571600000.0,,48589600000.0,,ASML.AS
2025-12-31,32667300000.0,9609400000.0,,50566600000.0,,ASML.AS
2021-12-31,3001000000.0,1048000000.0,,155268000000.0,,BIRG.IR
2022-12-31,3141000000.0,850000000.0,,150689000000.0,,BIRG.IR
2023-12-31,4491000000.0,1595000000.0,,155708000000.0,,BIRG.IR
2024-12-31,4462000000.0,1531000000.0,,161813000000.0,,BIRG.IR
2021-12-31,7350600000.0,763000000.0,,11395400000.0,,KRZ.IR
2022-12-31,8771900000.0,606500000.0,,12283400000.0,,KRZ.IR
2023-12-31,6974900000.0,728100000.0,,11615900000.0,,KRZ.IR
2024-12-31,6929100000.0,734400000.0,,12512500000.0,,KRZ.IR
2021-12-31,,,,,,MC.PA
2022-12-31,79183000000.0,14084000000.0,,134646000000.0,,MC.PA
2023-12-31,86153000000.0,15174000000.0,,143694000000.0,,MC.PA
2024-12-31,84682000000.0,12550000000.0,,149190000000.0,,MC.PA
2025-12-31,80807000000.0,10878000000.0,,142037000000.0,,MC.PA
2021-12-31,87470000000.0,16905000000.0,,139142000000.0,,NESN.SW
2022-12-31,94780000000.0,9270000000.0,,135182000000.0,,NESN.SW
2023-12-31,93351000000.0,11209000000.0,,126550000000.0,,NESN.SW
2024-12-31,91720000000.0,10884000000.0,,139264000000.0,,NESN.SW
2022-12-31,176954000000.0,55525000000.0,,241257000000.0,,NOVO-B.CO
2023-12-31,232261000000.0,83683000000.0,,314486000000.0,,NOVO-B.CO
2024-12-31,290403000000.0,100988000000.0,,465630000000.0,,NOVO-B.CO
2025-12-31,309064000000.0,102434000000.0,,542902000000.0,,NOVO-B.CO
2021-12-31,,,,,,OR.PA
2022-12-31,38260600000.0,5706600000.0,,46844200000.0,,OR.PA
2023-12-31,41182500000.0,6184000000.0,,51855100000.0,,OR.PA
2024-12-31,43486800000.0,6408700000.0,,56353400000.0,,OR.PA
2025-12-31,44052000000.0,6127200000.0,,61821200000.0,,OR.PA
2021-12-31,26953000000.0,5256000000.0,,71174000000.0,,SAP.DE
2022-12-31,29519000000.0,2284000000.0,,72159000000.0,,SAP.DE
2023-12-31,31207000000.0,6139000000.0,,68331000000.0,,SAP.DE
2024-12-31,34176000000.0,3124000000.0,,74122000000.0,,SAP.DE
2021-09-30,,,,,,SIE.DE
2022-09-30,71977000000.0,3723000000.0,,151502000000.0,,SIE.DE
2023-09-30,74882000000.0,7949000000.0,,145071000000.0,,SIE.DE
2024-09-30,75930000000.0,8301000000.0,,147812000000.0,,SIE.DE
2025-09-30,78914000000.0,9620000000.0,,166202000000.0,,SIE.DE
